the_geom,OBJECTID,Owner Name,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,LocationX,LocationY
POINT (-90.099694945886 29.974526388029),85337,"WALGREEN LOUISIANA CO., INC.",WALGREENS #10316,4001 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3671413.22164,538329.149385
POINT (-89.912105005676 30.03707965749),85308,KEN'S PHARMACY INC,KEN'S PHARMACY,4626 ALCEE FORTIER BLVD,C,NEW ORLEANS,LA,70129,504-254-4553,1120 - PHARMACIES & DRUG STORES,3730520.44608,561763.642143
POINT (-90.063357744973 29.956589643411),85334,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05551,619 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3682989.6445,531932.363395
POINT (-90.076989294557 29.951922709288),85342,"WALGREENS LOUISIANA CO., INC",WALGREENS #16309,300 WILMOT ST,MS3301,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-90.076989294557 29.951922709288),85344,"WALGREEN LOUISIANA AO., INC,",WALGREENS #17246,7133 ST. CHARLES AVE,,NEW ORLEANS,LA,70118,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-90.095647194463 29.958035033793),85312,"MEDI-PHYSICS, INC",MEDI-PHYSICS,3920 HOWARD AVE,,NEW ORLEANS,LA,70125,813-222-7036,1120 - PHARMACIES & DRUG STORES,3672759.4923,532346.081027
POINT (-90.013693837612 29.921562533756),85329,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03889,4110 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,847-527-4678,1120 - PHARMACIES & DRUG STORES,3698862.38052,519373.020087
POINT (-90.131358742047 29.948478385077),85283,TERSCO LLC,CASTELLON PHARMACY,8232 OAK ST,,NEW ORLEANS,LA,70118,504-866-3784,1120 - PHARMACIES & DRUG STORES,3661487.98963,528750.531264
POINT (-90.102481595504 29.937331616729),85309,"LA PETITE PHARMACY, LLC",LA PETITE PHARMACY,4321 MAGNOLIA ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670676.27303,524794.229308
POINT (-89.992922342352 30.027851855279),85321,"WALGREEN  LOUISIANA CO., INC.",WALGREEN #16312,5702 CROWDER BLVD,,NEW ORLEANS,LA,70127,,1120 - PHARMACIES & DRUG STORES,3704989.80811,558099.921883
POINT (-90.038614625615 29.966621764693),85310,"CBJ VENTURES, LLC",MED PRO PHARMACY,3601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,504-234-1056,1120 - PHARMACIES & DRUG STORES,3690783.32688,535668.087494
POINT (-89.929041995812 30.031986057266),85313,"VOTRAN RX,LLC",MICHOUD PHARMACY,4646 MICHOUD BLVD,STE #D5,NEW ORLEANS,LA,70129,,1120 - PHARMACIES & DRUG STORES,3725184.4503,559845.355485
POINT (-90.076022653667 29.955466371932),85340,WALGREEN LOUISIANA CO. INC,WALGREENS #13777,1415 TULANE AVE,STE 2CW07,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678983.77896,531479.673603
POINT (-89.956020818564 30.038782006326),85333,"WALGREENS LOUISIANA CO., INC.",WALGREENS #05358,11297 LAKE FOREST BLVD,,NEW ORLEANS,LA,70128,,1120 - PHARMACIES & DRUG STORES,3716618.45644,562213.001247
POINT (-89.911525866818 30.03716321789),85318,"AN CUONG,LLC",TIEN'S PHARMACY,4623 ALCEE FORTIER BLVD,,NEW ORLEANS,LA,70129,504-254-4606,1120 - PHARMACIES & DRUG STORES,3730703.30266,561796.300959
POINT (-90.134634567094 29.944673945707),85305,"HEALTH & LIFE, INC",H & L PHARMACY,8200 HAMPSON ST,,NEW ORLEANS,LA,70118,504-309-4950,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3660465.08077,527356.223039
POINT (-90.089454324348 29.923135633249),85292,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #10058,1116 LOUISIANA AVE,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3674858.20776,519676.609144
POINT (-90.066808496323 29.929229796583),85307,"H&W DRUG STORE 3,LLC",H&W DRUG STORE 3,1667 TCHOUPITOULAS ST,B,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3682006.93237,521971.240378
POINT (-90.073004188613 29.953819786659),85322,WALGREENS LOUISIANA CO INC,WALGREENS,925 COMMON ST,SUITE A,NEW ORLEANS,LA,70112,847-527-4678,1120 - PHARMACIES & DRUG STORES,3679946.17397,530891.414786
POINT (-90.076989294557 29.951922709288),85300,DELF USA,DELF USA,3021 RUE PARC FONTAINE NA,210,NEW ORLEANS,LA,70131,504-394-9755,0125 - DRUGS & DRUGGISTS' SUNDRIES WHLSRS,3678691.8167,530187.70942
POINT (-90.058699984597 29.999720045488),85338,"WALGREENS LOUISIANA CO., INC.",WALGREENS #11414,3216 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3684290.0573,547632.577234
POINT (-90.090161398353 29.961909988957),85280,"BEST LIFE PHARMACY & RESTAURANT, INC.",BEST LIFE PHARMACY,2657 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3674481.26254,533773.965701
POINT (-90.085254168802 29.964538646765),85278,ALPESH PATEL,BENZER LA1 LLC,2525 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3676024.64654,534746.73607
POINT (-90.103638649845 29.938662570172),85314,"OCHSNER PHARMACY & WELLNESS, LLC",OCHSNER PHARMACY-BAPTIST,2820 NAPOLEON AVE,#220,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3670304.62554,525274.278781
POINT (-90.116599045878 29.921036328678),85323,"WALGREENS LOUISIANA CO, INC",WALGREENS  #15199,5518 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3666268.01991,518820.903415
POINT (-90.115357813189 30.020384046247),85284,CHARBONNET FAMILY PHARMACY,CHARBONNET FAMILY PHARMACY,7211 REGENT ST,,NEW ORLEANS,LA,70124,504-309-2449,1120 - PHARMACIES & DRUG STORES,3666277.18855,554951.808856
POINT (-89.996853923056 30.034722792993),85306,"H & W DRUG STORE, INC.",H & W DRUG STORE,7240 CROWDER BLVD,STE. 101,NEW ORLEANS,LA,70127,504-244-3784,1120 - PHARMACIES & DRUG STORES,3703716.62775,560583.926878
POINT (-90.051504589759 30.022929970616),85303,"FRANKLIN AVENUE PHARMACY, INC",FRANKLIN AVENUE PHARMACY,6201 FRANKLIN AVE,,NEW ORLEANS,LA,70122,504-309-0083,1120 - PHARMACIES & DRUG STORES,3686473.07625,556098.021274
POINT (-90.077835007475 29.93634881706),85332,WALGREENS LOUISIANA CO INC.,WALGREENS #05040,1801 ST CHARLES AVE,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3678486.06101,524521.537532
POINT (-90.067129347928 29.968125410597),85302,"IDEAL PHARMACY CARE, INC",ESPLANADE FOOD STORE,1400 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-523-5910,1120 - PHARMACIES & DRUG STORES,3681749.01077,536113.979271
POINT (-90.019913710236 29.939668971564),85304,CALVIN MAGEE,GENERAL MEYER PHARMACY,3510 GENERAL MEYER AVE,STE. #B,NEW ORLEANS,LA,70114,504-872-9882,1120 - PHARMACIES & DRUG STORES,3696816.70378,525934.496701
POINT (-90.097525430385 29.964705217965),85277,AVITA DRUGS LLC,AVITA DRUGS,3308 TULANE AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672138.59572,534765.195014
POINT (-90.061870876012 29.961326909472),85317,"TUSA, CHAS H",ROYAL PHARMACY,1101 ROYAL ST,,NEW ORLEANS,LA,70116,,1120 - PHARMACIES & DRUG STORES,3683441.34671,533660.228549
POINT (-90.076086571705 30.020404783003),85315,OPW PHARMACY-LAKE TERRACE,OPW PHARMACY-LAKE TERRACE,1532 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3678704.43829,555093.575897
POINT (-90.03938610019 30.003762244719),85326,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03024,4200 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,847-527-4678,1120 - PHARMACIES & DRUG STORES,3690386.55062,549170.992787
POINT (-90.103856161744 29.939795662819),85346,"WALGREEN LOUISIANA CO, INC.",WALGREENS #4451,4400 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1120 - PHARMACIES & DRUG STORES,3670231.31655,525685.574333
POINT (-90.020506475493 29.967100130118),85296,LOUISIANA  CVS PHARMACY  LLC,CVS/PHARMACY #10538,5000 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3696514.68714,535907.274247
POINT (-90.020821520683 29.924077437049),85295,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY #05387,3621 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70131,,1120 - PHARMACIES & DRUG STORES,3696594.14115,520261.59116
POINT (-90.060568337445 30.022677023591),85328,"WALGREENS LOUISIANA CO., INC.",WALGREENS #03558,6201 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1120 - PHARMACIES & DRUG STORES,3683605.97116,555974.068121
POINT (-90.081451307581 29.960628407945),85343,"WALGREENS LOUISIANA CO., INC",WALGREENS #16395,2000 CANAL ST,SUITE G1-1200,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3677244.2644,533337.961476
POINT (-90.076989294557 29.951922709288),85276,AVITA DRUGS LLC,AVITA DRUGS,2601 TULANE AVE,445,NEW ORLEANS,LA,70119,504-822-8013,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-90.052869824063 30.026727271493),85288,"LOUISIANA CVS PHARMACY, L.L.C.",CVS  PHARMACY # 8266,2585 LEON C SIMON DR,,NEW ORLEANS,LA,70122,401-765-1500,1120 - PHARMACIES & DRUG STORES,3686025.63145,557474.041435
POINT (-90.096574510946 29.977837574635),85298,LOUISIANA CVS PHARMACY  LLC,CVS/PHARMACY #10594,500 N CARROLLTON AVE,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3672388.13723,539543.875082
POINT (-90.085254168802 29.964538646765),85279,BENZER LA 1 LLC,BENZER PHARMACY,2525 CANAL ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3676024.64654,534746.73607
POINT (-90.015465405428 29.91955200464),85282,CARR'S DRUGS INC,CARR'S DRUGS INC,3500 HOLIDAY DR,,NEW ORLEANS,LA,70114-8207,,1120 - PHARMACIES & DRUG STORES,3698309.62736,518635.466231
POINT (-90.087034765889 29.923859806905),85325,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02640,3227 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1120 - PHARMACIES & DRUG STORES,3675621.75611,519948.272376
POINT (-90.057683173819 29.973847755899),85289,"LOUISIANA CVS PHARMACY,LLC",CVS PHARMACY #10483,1600 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684716.63125,538228.009865
POINT (-90.106550228993 30.004260807983),85320,"WALGREEN LOUISIANA CO., INC.",WALGREEN  #17089,760 HARRISON AVE,,NEW ORLEANS,LA,70124,,1120 - PHARMACIES & DRUG STORES,3669127.11316,549118.469139
POINT (-90.108325371408 29.924951575752),85299,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #5503,4901 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-891-6307,1120 - PHARMACIES & DRUG STORES,3668873.60481,520272.554872
POINT (-89.976213038054 30.035440221959),85294,"LOUISIANA CVS PHARMACY, LLC",CVS/PHARMACY # 10108,5902 READ BLVD,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3710244.30904,560921.573022
POINT (-90.076989294557 29.951922709288),85293,LOUISIANA CVS PHARMACY LLC,CVS/ PHARMACY #763,800-B CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-89.973518966526 30.032076315937),85286,"COMMUNITY CHOICE PHARAMACY, LLC",COMMUNITY CHOICE PHARAMACY,9970 LAKE FOREST BLVD,STE A,NEW ORLEANS,LA,70127,504-957-2336,1120 - PHARMACIES & DRUG STORES,3711111.22251,559708.436061
POINT (-90.069824816104 29.954083492279),85341,"WALGREEN LOUISIANA CO, INC.",WALGREENS #15615,801 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680951.89391,530998.395906
POINT (-90.120385742818 29.956401705783),85335,"WALGREENS LOUISIANA CO., INC",WALGREENS #05866,2418 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,847-527-4678,1120 - PHARMACIES & DRUG STORES,3664932.39469,531668.372803
POINT (-90.072013702185 29.982410999759),85327,WALGREENS LOUISIANA CO,WALGREENS #03139,1826 N BROAD ST,,NEW ORLEANS,LA,70119,847-527-4678,1120 - PHARMACIES & DRUG STORES,3680145.37403,541291.70574
POINT (-90.133152783532 29.944390038125),85345,WALGREEN #4450,WALGREENS #4450,718 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,847-527-4678,1120 - PHARMACIES & DRUG STORES,3660935.42803,527257.895231
POINT (-90.025794845441 29.926263809773),85285,"COLISTICS,INC",COLISTICS PHARMACY,3361 GENERAL DE GAULLE DR,STE #A,NEW ORLEANS,LA,70114,,1120 - PHARMACIES & DRUG STORES,3695009.75786,521038.619641
POINT (-90.112814298787 30.021302739106),85339,"WALGREEN LOUISIANA CO., INC.",WALGREENS #11496,101 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,847-527-4678,1120 - PHARMACIES & DRUG STORES,3667078.52308,555294.448409
POINT (-90.077681417634 29.976193444403),85281,HUNG TRAN PHAT PHARMACY,BROAD AVENUE PHARMACY,1400 N BROAD ST,,NEW ORLEANS,LA,70119,,1120 - PHARMACIES & DRUG STORES,3678375.92955,539011.057866
POINT (-90.057528914647 29.968835106779),85324,"WALGREENS LOUISIANA CO., INC.",WALGREENS #02262,1100 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1120 - PHARMACIES & DRUG STORES,3684785.76418,536405.767751
POINT (-90.076989294557 29.951922709288),85336,"WALGREENS LOUISIANA CO., INC.",WALGREENS #09063,134 ROYAL ST,,NEW ORLEANS,LA,70130,847-527-4678,1120 - PHARMACIES & DRUG STORES,3678691.8167,530187.70942
POINT (-89.979779400191 30.043929424322),85331,"WALGREEN LOUISIANA CO., INC",WALGREENS #04982,7401 READ BLVD,,NEW ORLEANS,LA,70127,847-527-4678,1120 - PHARMACIES & DRUG STORES,3709079.45572,563995.224545
POINT (-90.118794325992 29.921442100691),85319,MICHAEL P KULLMAN INC,UPTOWN DELIVERY PHARMACY,741 NASHVILLE AVE,,NEW ORLEANS,LA,70115,504-897-0141,1120 - PHARMACIES & DRUG STORES,3665571.06874,518961.079479
POINT (-90.062914393979 29.956427536046),85290,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #2728,620 DECATUR ST,,NEW ORLEANS,LA,70130,,1120 - PHARMACIES & DRUG STORES,3683130.68514,531874.971523
POINT (-90.024438006852 30.026659793378),85316,PROFESSIONAL SERVICE PHARMACY LLC,PROFESSIONAL SERVICE PHARMACY LLC,7313 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1120 - PHARMACIES & DRUG STORES,3695022.50096,557551.156251
POINT (-90.110658452709 29.965724964636),85291,LOUISIANA CVS PHARMACY LLC,CVS PHARMACY #3730,3700 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,,1120 - PHARMACIES & DRUG STORES,3667976.38733,535091.405126
POINT (-89.924202651254 30.024936224957),85301,DR G H TICHENOR ANTISEPT,DR G H TICHENOR ANTISEPTIC CO,4200 W POCHE CT,,NEW ORLEANS,LA,70129,504-588-9131,1120 - PHARMACIES & DRUG STORES,3726747.1767,557300.584923
POINT (-90.092830701674 29.943079656893),85311,MEDICINE PRO LLC,MED-PRO PHARMACY,2600 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-309-9223,1120 - PHARMACIES & DRUG STORES,3673710.2011,526917.390654
POINT (-90.074353187623 29.948378537828),85297,LOUISIANA CVS PHARMACY LLC,CVS/PHARMACY #10559,939 GIROD ST,STE:160,NEW ORLEANS,LA,70113,,1120 - PHARMACIES & DRUG STORES,3679540.74101,528908.080576
POINT (-90.07126004031 29.954315744099),85330,WALGREEN LOUISIANA CO IN,WALGREENS #04305,900 CANAL ST,,NEW ORLEANS,LA,70112,,1120 - PHARMACIES & DRUG STORES,3680496.48795,531077.842498
POINT (-90.130601195319 29.947879066075),85287,MBP GROUP LLC,CRESCENT CITY APOTHECARY,8138 OAK ST,,NEW ORLEANS,LA,70118,504-220-6828,1120 - PHARMACIES & DRUG STORES,3661730.17542,528535.113024
