Address,BBL,BIN,Borough,CouncilDist,Latitude,Longitude,NTANAme,Number,ObjectId,Store_Contact_Number,Store_Name,Street,Zip,boroCD,ct2010,point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
2 Newkirk Plaza,3052360000,3121174,Brooklyn,40,40.63564,-73.96267,Flatbush,2,34,718-434-1736,Almac True Value,Newkirk Plaza,11226,314,520,POINT (-73.962666 40.635634),13510,60,2,11,43
159 N 3rd Street,3023520000,3000000,Brooklyn,34,40.71559,-73.95936,North Side-South Side,159,2,718-302-5533,Foodtown,N 3rd Street,11211,301,553,POINT (-73.959357 40.715588),17613,36,2,30,57
3155 Amboy Rd,5044720000,5107641,Staten Island,51,40.56447,-74.13334,Great Kills,3155,103,(718) 987-1114,Capital Paint & True Value Hardware,Amboy Rd,10306,503,14606,POINT (-74.133337 40.564471999999995),10693,15,1,9,76
493 5 avenue,3010230000,3022920,Brooklyn,39,40.72473,-73.89832,Park Slope-Gowanus,493,15,718-499-3663,Key Foods,5 avenue,11215,306,139,POINT (-73.898325 40.72472599999999),14788,54,3,34,62
1441 Richmond Ave,5015440000,5151774,Staten Island,50,40.88197,-73.90194,New Springville-Bloomfield-Travis,1441,98,718-698-1138,Stop & Shop,Richmond Ave,10314,502,29104,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
985 Richmond Ave,5014790000,5150290,Staten Island,49,40.62346,-74.14813,Mariner's Harbor-Arlington-Port Ivory-Graniteville,985,93,718-982-8662,ShopRite,Richmond Ave,10314,501,30301,POINT (-74.148131 40.62345899999999),10700,4,1,13,75
5554 Broadway,2032660000,2016142,Bronx,11,40.87801,-73.90503,Spuyten Duyvil-Kingsbridge,5554,47,718-548-0433,Kornblau Supply Co Inc,Broadway,10463,208,283,POINT (-73.90503 40.878006),11272,48,5,40,33
104-12 Liberty Ave,4095270000,4551727,Ozone Park,32,40.68192,-73.8366,South Ozone Park,104-12,61,718-848-3222,Shop Rite Hardware & Paint,Liberty Ave,11417,410,94,POINT (-73.836603 40.681921999999986),24013,62,3,41,64
"6604 Fresh Pond Rd, Ridgewood, NY",4035270000,4443085,Queens,30,40.70881,-73.89867,Ridgewood,6604,79,(718) 821-5245,Noble True Hardware,"Fresh Pond Rd, Ridgewood, NY",11385,405,587,POINT (-73.898667 40.708808999999995),15310,54,3,34,62
"4728 Bell Blvd, Bayside",4073300000,4157334,Queens,19,40.75589,-73.76765,Bayside-Bayside Hills,4728,66,(718) 229-0377,Posner B & Son,"Bell Blvd, Bayside",11361,411,1447,POINT (-73.76765 40.75589300000001),14196,26,3,20,69
74-02 Forest Ave,4035780000,4086380,Ridgewood,34,40.69893,-73.89798,Ridgewood,74-02,78,718-381-5800,Forest Builders Supply Inc,Forest Ave,11385,405,557,POINT (-73.89798200000001 40.69892500000001),15310,54,3,30,62
2136 Bartow Ave,2051411000,2121320,Bronx,12,40.88197,-73.90194,Co-op City,2136,51,718-320-2902,Stop & Shop,Bartow Ave,10475,210,46201,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
545 Targee St,5029220000,5112730,Staten Island,49,40.76731,-73.84395,Grymes Hill-Clifton-Fox Hills,545,89,718-818-9334,Home Depot,Targee St,10304,501,40,POINT (-73.84395 40.767313),13832,22,3,20,67
74-17 Grand Ave,4024920000,4058131,Maspeth,30,40.88052,-73.82489,Elmhurst,74-17,83,718-803-0863,Super Stop & Shop,Grand Ave,11378,405,499,POINT (-73.824891 40.880516),12344,43,5,2,28
1248 150th St,4045050000,4102475,Queens,19,40.78945,-73.81435,Whitestone,1248,57,(718) 767-9546,Whitestone Hardware,150th St,11357,407,981,POINT (-73.81435 40.78944899999999),14192,22,3,20,67
347 Knickerbocker Ave,3032470000,3073855,Brooklyn,37,40.70109,-73.92186,Bushwick North,347,10,718-497-5882,A&G Locksmith & Hardware,Knickerbocker Ave,11237,304,429,POINT (-73.921861 40.70109),13828,42,2,37,53
12 E Tremont Ave,2028530000,2008255,Bronx,14,40.85126,-73.90881,Mount Hope,12,46,718-294-1650,C.S. Brown True Value Hardware,E Tremont Ave,10453,205,23301,POINT (-73.908817 40.851259),10931,6,5,29,29
596 5 Avenue,3010520000,3024141,Brooklyn,39,40.66436,-73.99065,Park Slope-Gowanus,596,25,718-788-6683,Park Slope Hardware,5 Avenue,11215,307,141,POINT (-73.990643 40.66436100000001),17617,9,2,27,45
34-51 48th St,4001200000,4000822,Long Island City,26,40.88052,-73.82489,Hunters Point-Sunnyside-West Maspeth,34-51,74,718-728-7724,Super Stop & Shop,48th St,11101,401,171,POINT (-73.824891 40.880516),12344,43,5,2,28
782 Union Street,3009570000,3020190,Brooklyn,39,40.67473,-73.97681,Park Slope-Gowanus,782,19,718-622-0560,Park Slope Food Coop,Union Street,11215,306,157,POINT (-73.976816 40.67473099999999),17617,14,2,27,50
4813 Church Ave,3046740000,3102054,Brooklyn,41,40.65191,-73.93185,East Flatbush-Farragut,4813,42,(718) 703-3364,Stanly Hardware,Church Ave,11203,317,870,POINT (-73.931848 40.65191000000001),16866,61,2,17,40
120 5th Ave,3009430000,3018991,Brooklyn,39,40.67923,-73.97908,Park Slope-Gowanus,120,14,718-783-8339,Key Food,5th Ave,11217,306,12901,POINT (-73.97908200000002 40.679233),17619,14,2,27,50
4343 Amboy Rd,5054970000,5073190,Staten Island,51,40.88197,-73.90194,Great Kills,4343,102,718-608-8950,Stop & Shop,Amboy Rd,10312,503,14604,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
7615 13th Ave,3062330000,3329035,Brooklyn,43,40.61922,-74.00814,Dyker Heights,7615,29,718-232-5055,Polsteins Home Center,13th Ave,11228,310,198,POINT (-74.008137 40.61922599999998),13511,10,2,44,41
2873 Richmond Avenue,5024600000,5000000,Staten Island,51,40.82402,-73.93005,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,2873,97,917-791-5851,Target,Richmond Avenue,10314,502,27702,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
8107 Flatlands Avenue,3080020000,3224341,Brooklyn,46,40.63636,-73.91248,Canarsie,8107,43,718-444-8120,S & S Hardware,Flatlands Avenue,11236,318,954,POINT (-73.912479 40.636361),13827,5,2,8,42
470 Court St,3003710000,3005422,Brooklyn,39,40.6781,-73.99823,Carroll Gardens-Columbia Street-Red Hook,470,18,718-624-8494,Mazzone True Value,Court St,11231,306,65,POINT (-73.998233 40.67809599999999),13514,14,2,27,48
558 Metropolitan Ave,3027610000,3068782,Brooklyn,34,40.71381,-73.95025,North Side-South Side,558,1,718-388-9521,Crest True Value Hardware,Metropolitan Ave,11211,301,513,POINT (-73.950246 40.713806),17613,36,2,30,56
9107 Astoria Blvd,4013650000,4032452,East Elmhurst,22,40.76376,-73.87796,Jackson Heights,9107,75,(718) 429-0707,Dacorta Brothers Hardware Inc.,Astoria Blvd,11369,403,347,POINT (-73.877964 40.763759),14511,65,3,4,73
4125 Bell Blvd,4062900000,4138301,Queens,19,40.76291,-73.77028,Bayside-Bayside Hills,4125,65,(718) 229-1600,Parker Industrial Hardware,Bell Blvd,11361,411,1467,POINT (-73.770279 40.762907999999996),14196,26,3,20,69
2970 Cropsey Ave,3069470000,3348838,Brooklyn,47,40.76731,-73.84395,Seagate-Coney Island,2970,33,718-333-9850,Home Depot,Cropsey Ave,11214,313,348,POINT (-73.84395 40.767313),13832,22,3,20,67
64-66 Myrtle Ave,,,Ridgewood,30,40.88197,-73.90194,Glendale,64-66,82,718-381-5136,Stop & Shop,Myrtle Ave,11385,405,577,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
134-40 Springfield Blvd,4129990000,4279935,Springfield Gardens,27,40.77987,-73.77689,St. Albans,134-40,70,718-525-0600,Stop and Shop,Springfield Blvd,11413,412,352,POINT (-73.776886 40.779872999999995),14195,22,3,20,67
519 Gateway Drive,3044520000,3348833,Brooklyn,42,40.82402,-73.93005,East New York,519,11,718-235-6032,Target,Gateway Drive,11239,305,1070,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
2461 E 17th St,3074190000,3323035,Brooklyn,48,40.59094,-73.95263,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,2461,38,718-648-6000,Doody Home Centers,E 17th St,11235,315,592,POINT (-73.952631 40.590942000000005),13826,32,2,15,36
147 smith Street,3001940000,3001237,Brooklyn,33,40.68675,-73.99022,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,147,6,718-389-7912,Mom and Pop's Organic Market,smith Street,11201,302,43,POINT (-73.990218 40.686747000000004),16865,68,2,38,54
453 Port Richmond Ave,5010480000,5024788,Staten Island,49,40.63124,-74.13837,Port Richmond,453,94,718-442-6299,Community Hardware,Port Richmond Ave,10302,501,213,POINT (-74.13837 40.63124500000001),10370,4,1,13,75
2945 Bruckner Boulevard,2053120000,2072701,Bronx,13,40.83451,-73.82686,Schuylerville-Throgs Neck-Edgewater Park,2945,50,718-379-7100,Super Food Town,Bruckner Boulevard,10461,210,184,POINT (-73.826858 40.834515),11270,43,5,12,28
600 Utica Ave,3046030000,3099598,Brooklyn,41,40.65886,-73.93154,Prospect Lefferts Gardens-Wingate,600,26,718-774-8900,New York Lumber/ACE Hardware,Utica Ave,11203,309,878,POINT (-73.931541 40.65886),16866,17,2,17,44
175 Remsen Street,3002500000,3002095,Brooklyn,33,40.69347,-73.99142,Brooklyn Heights-Cobble Hill,175,7,718-855-6068,Perelandra,Remsen Street,11201,302,9,POINT (-73.991428 40.693475),16865,68,2,38,54
2171 Forest Ave,5012500000,5141899,Staten Island,49,40.67215,-73.99505,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2171,90,(718) 682-9027,Lowe�s,Forest Ave,10303,501,31901,POINT (-73.995047 40.672148),17617,14,2,27,50
16254 Crossbay Blvd,4140660000,4294197,Howard Beach,32,40.65285,-73.83876,Lindenwood-Howard Beach,16254,62,718-848-5699,Cross Bay Hardware,Crossbay Blvd,11414,410,892,POINT (-73.838758 40.652846),15314,62,3,41,64
8111 5th Ave,3059990000,3151759,Brooklyn,43,40.62462,-74.02432,Bay Ridge,8111,30,(718) 748-0960,Sunset Hardware,5th Ave,11209,310,138,POINT (-74.024323 40.624622),17216,10,2,44,41
2750 W Veterans Rd,5074690000,5149741,Staten Island,51,40.76731,-73.84395,Charleston-Richmond Valley-Tottenville,2750,101,718-984-4690,Home Depot,W Veterans Rd,10309,503,226,POINT (-73.84395 40.767313),13832,22,3,20,67
26318 Hillside Ave,4087930000,4179968,Queens,23,40.73782,-73.70475,Glen Oaks-Floral Park-New Hyde Park,26318,71,(718) 343-0072,Hillside Hardware inc,Hillside Ave,11004,413,157903,POINT (-73.704748 40.737816999999986),15785,63,3,16,63
132-20 Merrick Blvd,4129990000,4279930,Jamaica,27,40.76731,-73.84395,St. Albans,132-20,69,718-977-2081,Home Depot,Merrick Blvd,11434,412,352,POINT (-73.84395 40.767313),13832,22,3,20,67
124 04 31st Ave,4043950000,4438019,Flushing,19,40.76731,-73.84395,College Point,124,58,718-661-4608,Home Depot,04 31st Ave,11354,407,907,POINT (-73.84395 40.767313),13832,22,3,20,67
1710 Avenue Y,3074380000,3331174,Brooklyn,48,40.88052,-73.82489,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1710,39,718-648-0202,Super Stop & Shop,Avenue Y,11235,315,592,POINT (-73.824891 40.880516),12344,43,5,2,28
8989 Union Tpke,4038860000,4095040,Forest Hills,30,40.88197,-73.90194,Forest Hills,8989,86,718-846-2310,Stop & Shop,Union Tpke,11385,406,645,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
66-17 Grand Ave,4027240000,4060816,Maspeth,30,40.72473,-73.89832,Maspeth,66-17,81,718-476-8000,Key Foods,Grand Ave,11378,405,517,POINT (-73.898325 40.72472599999999),14788,54,3,34,62
131-35 Avery Ave,4050661000,4115028,Flushing,20,40.76731,-73.84395,Flushing,131-35,59,718-358-9600,Home Depot,Avery Ave,11354,407,849,POINT (-73.84395 40.767313),13832,22,3,20,67
100 Oak point Ave,2026040000,2120055,Bronx,17,40.80887,-73.89835,Hunts Point,100,44,718-665-3910,Jetro,Oak point Ave,10474,202,93,POINT (-73.898356 40.808869),12343,8,5,43,24
73-01 25 Avenue,4010270000,4530769,East Elmhurst,22,40.76731,-73.84395,Jackson Heights,73-01,76,718-507-9007,Home Depot,25 Avenue,11369,403,30904,POINT (-73.84395 40.767313),13832,22,3,20,67
1080 Mcdonald Avenue,3054570000,3129321,Brooklyn,44,40.62657,-73.97703,Borough Park,1080,32,718-252-5770,Shop Rite,Mcdonald Avenue,11230,312,464,POINT (-73.977027 40.62656599999999),16867,2,2,18,39
647 Forest Ave,5001640000,5004691,Staten Island,49,40.63001,-74.11055,New Brighton-Silver Lake,647,91,718-981-1013,North Shore Hardware,Forest Ave,10310,501,105,POINT (-74.110552 40.630008999999994),10697,4,1,13,74
2044 Westchester Ave,2038050000,2000000,Bronx,18,40.83346,-73.85564,Westchester-Unionport,2044,49,718-344-7439,Georges True Value Hardware,Westchester Ave,10462,209,92,POINT (-73.855648 40.833462999999995),11271,58,5,31,26
669 Morris Park Ave,2040480000,2043407,Bronx,15,40.84528,-73.86721,Van Nest-Morris Park-Westchester Square,669,54,718-829-2338,Van Nest True Value Hardware,Morris Park Ave,10462,211,236,POINT (-73.86721 40.84527599999999),11271,59,5,22,32
118 2nd Ave,3010070000,3022201,Brooklyn,39,40.67215,-73.99505,Park Slope-Gowanus,118,17,718-249-1151,Lowe�s,2nd Ave,11215,306,119,POINT (-73.995047 40.672148),17617,14,2,27,50
584 5 Avenue,3010520000,3024135,Brooklyn,39,40.66464,-73.99042,Park Slope-Gowanus,584,22,718-499-2323,CNS Family Hardware,5 Avenue,11215,307,141,POINT (-73.990419 40.664643999999996),17617,9,2,27,45
6915 Fort Hamilton Pkwy,3058790000,3145951,Brooklyn,43,40.62823,-74.01233,Dyker Heights,6915,27,(718) 630-5787,M&M Hardware,Fort Hamilton Pkwy,11228,310,208,POINT (-74.012328 40.62823399999999),13511,10,2,44,41
2754 Hylan Boulevard,5039830000,5107591,Staten Island,50,40.88197,-73.90194,Oakwood-Oakwood Beach,2754,96,718-980-0892,Stop & Shop,Hylan Boulevard,10306,502,12806,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
35-10 Francis Lewis Blvd,,,Flushing,19,40.76376,-73.78814,Auburndale,35-10,64,718-445-7472,Food Universe,Francis Lewis Blvd,11358,411,1139,POINT (-73.788143 40.763761),14193,26,3,20,69
95 Court St,3002690000,3002646,Brooklyn,33,40.6911,-73.99136,Brooklyn Heights-Cobble Hill,95,5,718-858-5250,Court Street Hardware,Court St,11201,302,9,POINT (-73.991367 40.691106),16865,68,2,38,54
369 Flatbush Ave,3011640000,3029030,Brooklyn,35,40.72473,-73.89832,Prospect Heights,369,12,718-789-3007,Key Foods,Flatbush Ave,11238,308,163,POINT (-73.898325 40.72472599999999),14788,54,3,34,62
1598 Flatbush Avenue,3075768000,3396696,Brooklyn,45,40.82402,-73.93005,Flatbush,1598,37,718-637-5005,Target,Flatbush Avenue,11210,314,774,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
4890 Arthur Kill Rd,5075840000,5103854,Staten Island,51,40.52281,-74.23878,Charleston-Richmond Valley-Tottenville,4890,100,718-948-9495,Garber's Do It Best Hardware,Arthur Kill Rd,10309,503,226,POINT (-74.23878 40.522813),10696,15,1,9,77
550 Hamilton Ave,3006250000,3008889,Brooklyn,38,40.76731,-73.84395,Sunset Park West,550,23,718-832-8553,Home Depot,Hamilton Ave,11232,307,18,POINT (-73.84395 40.767313),13832,22,3,20,67
24926 Northern Blvd,4082150000,4170663,Little Neck,19,40.88052,-73.82489,Douglas Manor-Douglaston-Little Neck,24926,68,718-423-5601,Super Stop & Shop,Northern Blvd,11362,411,150701,POINT (-73.824891 40.880516),12344,43,5,2,28
4527 White Plains Rd,2050810000,2097563,Bronx,11,40.90098,-73.85268,Woodlawn-Wakefield,4527,55,718-324-8358,Fairbanks Lumber True Value,White Plains Rd,10470,212,414,POINT (-73.852687 40.900978),11608,29,5,40,30
829 E New York Ave,3014290000,3038506,Brooklyn,41,40.66276,-73.93533,Prospect Lefferts Gardens-Wingate,829,40,718-778-2700,Hardware Express True Value,E New York Ave,11203,309,876,POINT (-73.935329 40.662758999999994),16866,17,2,17,44
75-09 Woodhaven Blvd,4038860000,4095037,Ridgewood,29,40.76731,-73.84395,Glendale,75-09,85,718-830-3323,Home Depot,Woodhaven Blvd,11385,406,637,POINT (-73.84395 40.767313),13832,22,3,20,67
139 Flatbush Ave,3020017000,3348849,Brooklyn,35,40.82402,-73.93005,Fort Greene,139,8,718-290-1109,Target,Flatbush Ave,11217,302,35,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
1806 E Gunhill Rd,2045040000,2100885,Bronx,13,40.86189,-73.83275,Allerton-Pelham Gardens,1806,53,718-862-9800,The Home Depot,E Gunhill Rd,10469,211,310,POINT (-73.832752 40.86189199999999),11607,59,5,12,32
1009 Flatbush Ave,3051260000,3117671,Brooklyn,40,40.88052,-73.82489,Erasmus,1009,36,718-469-1300,Super Stop & Shop,Flatbush Ave,11226,314,794,POINT (-73.824891 40.880516),12344,43,5,2,28
92-10 Atlantic Ave,4090280000,4187479,Ozone Park,32,40.88197,-73.90194,Woodhaven,92-10,87,718-835-7900,Stop & Shop,Atlantic Ave,11416,409,32,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
22115 Jamaica Ave,4107280000,4229912,Queens,23,40.72029,-73.73287,Queens Village,22115,72,(718) 465-5377,Village Hardware & Paint Company,Jamaica Ave,11428,413,564,POINT (-73.732875 40.720286),24337,63,3,16,63
1825 Victory Blvd,5003720000,5010500,Staten Island,50,40.61337,-74.12441,Westerleigh,1825,92,718-442-1200,Reimans True Value Hardware,Victory Blvd,10314,501,151,POINT (-74.124412 40.61336699999999),10700,4,1,14,74
469 Kings Hwy,,,Brooklyn,44,40.60402,-73.97259,Bensonhurst East,469,31,718-375-2873,Frankson True Value Hardware,Kings Hwy,11223,311,412,POINT (-73.972587 40.60401799999999),18183,1,2,18,37
213-15 26th Ave,4059000000,4439465,Bay Terrace Mall,19,40.77987,-73.77689,Ft. Totten-Bay Terrace-Clearview,213-15,60,718-279-3188,Stop and Shop,26th Ave,11360,407,99704,POINT (-73.776886 40.779872999999995),14195,22,3,20,67
452 Myrtle Ave,3019030000,3054813,Brooklyn,35,40.69305,-73.96737,Clinton Hill,452,4,718-237-7827,Clinton Hill Hardware,Myrtle Ave,11205,302,195,POINT (-73.967372 40.69304499999998),17212,68,2,48,55
415 5 Avenue,3009990000,3021881,Brooklyn,39,40.66989,-73.98534,Park Slope-Gowanus,415,16,718-499-6563,Leopold's True Value,5 Avenue,11215,306,137,POINT (-73.985339 40.66988599999999),17617,14,2,27,50
112-20 Rockaway Blvd,4115430000,4446012,South Ozone Park,32,40.76731,-73.84395,South Ozone Park,112-20,63,718-641-5500,Home Depot,Rockaway Blvd,11420,410,864,POINT (-73.84395 40.767313),13832,22,3,20,67
2809 Steinway St,4006630000,4010787,Long Island City,22,40.76506,-73.9137,Astoria,2809,77,(718) 728-3020,Straus Paint and Hardware Co.,Steinway St,11103,401,147,POINT (-73.913693 40.765055999999994),16860,39,3,4,72
5716 Broadway,2032690000,2016173,Bronx,11,40.88197,-73.90194,Spuyten Duyvil-Kingsbridge,5716,48,718-548-3344,Stop & Shop,Broadway,10463,208,283,POINT (-73.901936 40.88196599999999),11272,48,5,40,33
6525 Forest Ave,4034970000,4083710,Queens,30,40.708,-73.90343,Ridgewood,6525,80,(718) 821-5850,Platz hardware,Forest Ave,11385,405,593,POINT (-73.903433 40.708004),15310,54,3,34,62
98 Greenfield Ave,5028410000,5042478,Staten Island,49,40.61834,-74.07323,Grymes Hill-Clifton-Fox Hills,98,95,718-447-2122,Garber's Building Supply,Greenfield Ave,10304,501,40,POINT (-74.073226 40.618340999999994),10691,4,1,13,74
7305 5th Ave,3059200000,3337156,Brooklyn,43,40.6307,-74.02184,Bay Ridge,7305,28,(718) 630-5787,Pearson Paint & Hardware Corp,5th Ave,11209,310,134,POINT (-74.021836 40.63069999999999),17216,10,2,44,41
700 Exterior Street,2023570000,2119099,Bronx,8,40.82402,-73.93005,West Concourse,700,45,718-401-5651,Target,Exterior Street,10451,204,63,POINT (-73.930045 40.82401899999999),10929,50,5,35,27
193 7th Ave,3010780000,3025285,Brooklyn,39,40.67085,-73.97794,Park Slope-Gowanus,193,21,718-788-4120,Tarzian True Value Hardware,7th Ave,11215,306,155,POINT (-73.977942 40.670853),17617,14,2,27,50
3515 Francis Lewis Blvd,4061420000,4135977,Flushing,19,40.7641,-73.7869,Bayside-Bayside Hills,3515,67,718-539-7559,Rainbow True Value,Francis Lewis Blvd,11358,411,1133,POINT (-73.786906 40.764098),14193,26,3,20,69
50-10 Northern Blvd,4001200000,4000825,Long Island City,26,40.76731,-73.84395,Hunters Point-Sunnyside-West Maspeth,50-10,73,718-278-9031,Home Depot,Northern Blvd,11101,401,171,POINT (-73.84395 40.767313),13832,22,3,20,67
691 Co Op City Blvd,2051410000,2118946,Bronx,12,40.88052,-73.82489,Co-op City,691,52,718-862-2809,Super Stop & Shop,Co Op City Blvd,10475,210,46201,POINT (-73.824891 40.880516),12344,43,5,2,28
82-03 Eliot Avenue,4029160000,4066540,Middle Village,30,40.72613,-73.87743,Middle Village,82-03,84,718-458-5917,Harry's True Value,Eliot Avenue,11379,405,507,POINT (-73.877423 40.726127000000005),15309,54,3,34,62
3501 Amboy Rd,,,Staten Island,51,40.55463,-74.14408,Great Kills,3501,99,718-967-6788,Super Fresh,Amboy Rd,10306,503,14606,POINT (-74.14408 40.554626),10693,15,1,9,76
4619 5th Ave,3007570000,3011889,Brooklyn,38,40.64677,-74.00817,Sunset Park East,4619,24,(718) 438-9065,Ok Hardware Store,5th Ave,11209,307,96,POINT (-74.008173 40.64677),18180,9,2,7,45
585 Dekalb Ave,3017640000,3049016,Brooklyn,33,40.76731,-73.84395,Bedford,585,9,718-230-0833,Home Depot,Dekalb Ave,11205,303,241,POINT (-73.84395 40.767313),13832,22,3,20,67
135-05 20th Ave,4041430000,4462119,College Point,19,40.78379,-73.83331,Whitestone,135-05,56,718-661-4346,Target Store,20th Ave,11356,407,945,POINT (-73.833306 40.78379100000001),14191,22,3,20,67
2501 Forest Ave,5013800000,5028665,Staten Island,49,40.76731,-73.84395,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2501,88,718-273-5069,Home Depot,Forest Ave,10303,501,323,POINT (-73.84395 40.767313),13832,22,3,20,67
2266 Nostrand Ave,3075750000,3206424,Brooklyn,45,40.62962,-73.94801,Flatbush,2266,35,718-377-8516,Corner Hardware & Paint,Nostrand Ave,11210,314,774,POINT (-73.94801 40.62961700000001),17217,60,2,26,43
1785-87 Nostrand Ave,3049470000,3111295,Brooklyn,45,40.64228,-73.94834,Erasmus,1785-87,41,718-693-6327,Nostrand True Value Hardware,Nostrand Ave,11226,317,828,POINT (-73.948339 40.642278999999995),13510,61,2,26,40
480 Van Brunt Street,3006110000,3008873,Brooklyn,38,40.67419,-74.01706,Carroll Gardens-Columbia Street-Red Hook,480,13,718-254-0923,Fairway,Van Brunt Street,11231,306,53,POINT (-74.017059 40.674192000000005),13514,14,2,7,48
478 Bergen Street,3009330000,3018600,Brooklyn,39,40.68066,-73.97556,Park Slope-Gowanus,478,20,718-783-3333,Pintchik Ace Hardware Store,Bergen Street,11217,306,12902,POINT (-73.975555 40.68066499999998),17619,14,2,27,50
85 Court Street,3002690000,3002649,Brooklyn,33,40.69131,-73.99127,Brooklyn Heights-Cobble Hill,85,3,718-243-0844,Bruno's Home Center,Court Street,11201,302,9,POINT (-73.99127 40.691306),16865,68,2,38,54
