rank,name,revenue
992,eMerge Interactive,1195
506,3Com,3010
524,A.G. Edwards,2839
123,Abbott Laboratories,16285
908,Abercrombie & Fitch,1365
709,ABM Industries,1950
516,Ace Hardware,2894
839,ACT Manufacturing,1536
907,Acterna,1366
351,Adams Resources & Engy.,4717
607,ADC Telecommunications,2403
456,Adelphia Communications,3435
376,Administaff,4373
969,Adobe Systems,1230
603,Adolph Coors,2430
578,Advance Auto Parts,2518
424,Advanced Micro Devices,3892
265,AdvancePCS,7024
895,Advantica,1391
201,AES,9614
74,Aetna,25191
685,Affiliated Computer Svcs.,2064
202,AFLAC,9598
571,AGCO,2542
212,Agilent Technologies,9161
817,Agway,1575
475,Aid Assn. for Lutherans,3258
865,AIMCO,1464
310,Air Products & Chem.,5723
479,Airborne,3211
806,Airgas,1629
409,AK Steel Holding,3994
659,Alaska Air Group,2141
583,Alberto-Culver,2494
38,Albertson's,37931
88,Alcoa,22859
995,Alexander & Baldwin,1190
970,Alleghany,1226
185,Allegheny Energy,10379
661,Allegheny Technologies,2128
788,Allergan,1685
791,Allete,1668
532,Alliant Energy,2777
316,Allied Waste Industries,5565
471,Allmerica Financial,3312
57,Allstate,28865
250,Alltel,7599
732,Alpine Group,1887
492,Amazon.Com,3122
977,AMC Entertainment,1215
880,Amer. Power Conversion,1433
152,Amerada Hess,13413
750,Amerco,1814
366,Ameren,4506
684,America West Holdings,2066
494,American Axle & Mfg.,3107
903,American Eagle Outfitters,1372
13,American Electric Power,61257
89,American Express,22582
337,American Family Ins. Grp.,5109
418,American Financial Grp.,3948
576,American Greetings,2519
12,American Intl. Group,62402
998,American Management Systems,1183
660,American National Ins.,2134
255,American Standard,7465
877,American Water Works,1439
127,AmerisourceBergen,15823
445,Ames Dept. Stores,3648
403,Amgen,4016
947,Amica Mutual Insurance,1267
848,Amkor Technology,1518
108,AMR,18963
463,AmSouth Bancorp.,3383
938,Amtran,1276
232,Anadarko Petroleum,8369
632,Analog Devices,2277
159,Anheuser-Busch,12912
488,Anixter International,3144
932,AnnTaylor,1300
184,Anthem,10445
37,AOL Time Warner,38234
247,Aon,7676
533,Apache,2777
325,Apple Computer,5363
803,Applera,1644
807,Applied Ind. Technologies,1626
258,Applied Materials,7343
33,Aquila,40377
246,Aramark,7789
859,Arch Coal,1489
100,Archer Daniels Midland,20051
845,Arkansas Best,1526
490,Armstrong Holdings,3135
191,Arrow Electronics,10128
275,ArvinMeritor,6805
225,Ashland,8547
834,Astoria Financial,1540
15,AT&T,59142
864,Atmel,1472
873,Atmos Energy,1442
946,Audiovox,1268
504,Auto-Owners Insurance,3016
410,Autoliv,3991
266,Automatic Data Proc.,7018
101,AutoNation,19989
346,AutoZone,4818
277,Avaya,6793
430,Avery Dennison,3803
299,Avista,6021
161,Avnet,12814
302,Avon Products,5995
323,Baker Hughes,5382
441,Ball,3686
19,Bank of America Corp.,52641
261,Bank of New York Co.,7192
79,Bank One Corp.,24527
855,Banknorth Group,1504
868,Banta,1458
343,Barnes & Noble,4870
780,Bausch & Lomb,1712
248,Baxter International,7663
291,BB&T Corp.,6228
223,Bear Stearns,8701
757,Beazer Homes USA,1805
702,Beckman Coulter,1984
435,Becton Dickinson,3754
609,Bed Bath & Beyond,2397
631,Belk,2278
695,Bell Microproducts,2007
82,BellSouth,24130
909,Belo,1365
629,Bemis,2293
937,Benchmark Electronics,1277
39,Berkshire Hathaway,37668
131,Best Buy,15327
468,Bethlehem Steel,3334
540,Beverly Enterprises,2713
457,Big Lots,3433
643,BJ Services,2234
331,BJ's Wholesale Club,5280
377,Black & Decker,4333
822,Black Hills,1559
988,Blyth,1199
856,BMC Software,1504
16,Boeing,58198
256,Boise Cascade,7422
461,Borders Group,3388
620,BorgWarner,2352
547,Boston Scientific,2673
596,Bowater,2449
926,Briggs & Stratton,1312
746,Brightpoint,1825
586,Brinker International,2474
96,Bristol-Myers Squibb,21717
621,Broadwing,2351
768,Brown Shoe,1756
718,Brown-Forman,1924
442,Brunswick,3684
642,Budget Group,2234
604,Burlington Coat Factory,2429
887,Burlington Industries,1404
211,Burlington No. Santa Fe,9208
470,Burlington Resources,3326
495,C.H. Robinson Worldwide,3090
999,C.R. Bard,1181
373,Cablevision Systems,4405
782,Cabot,1698
882,Cadence Design Systems,1430
251,Calpine,7590
282,Campbell Soup,6664
260,Capital One Financial,7254
23,Cardinal Health,47948
315,Caremark Rx,5614
740,Carlisle,1850
920,Carpenter Technology,1324
716,Casey's General Stores,1928
98,Caterpillar,20450
704,CBRL Group,1964
860,CDI,1488
414,CDW Computer Centers,3962
600,CellStar,2434
217,Cendant,8950
244,Cenex Harvest States,7875
281,Centex,6711
665,CenturyTel,2118
958,Ceridian,1243
719,CH2M Hill,1923
828,Champion Enterprises,1548
330,Charles Schwab,5281
699,Charming Shoppes,1994
417,Charter Communications,3953
521,Charter One Financial,2852
8,ChevronTexaco,99699
639,Chiquita Brands Intl.,2242
249,Chubb,7600
810,Ciena,1603
107,Cigna,19115
567,Cincinnati Financial,2561
158,Cinergy,12923
656,Cintas,2161
157,Circuit City Stores,12959
92,Cisco Systems,22293
7,Citigroup,112022
564,Citizens Communications,2574
879,CKE Restaurants,1438
243,Clear Channel Commun.,7970
423,Clorox,3903
963,CMGI,1238
156,CMS Energy,12977
342,CNF,4874
99,Coca-Cola,20092
128,Coca-Cola Enterprises,15700
207,Colgate-Palmolive,9428
748,Collins & Aikman,1823
198,Comcast,9674
480,Comdisco,3202
388,Comerica,4197
832,Comfort Systems USA,1546
599,Commercial Metals,2441
785,Community Health Sys.,1694
46,Compaq Computer,33554
726,Compass Bancshares,1894
387,Computer Assoc. Intl.,4198
181,Computer Sciences,10524
693,Compuware,2010
944,Comverse Technology,1270
61,ConAgra,27194
781,Concord EFS,1707
307,Conectiv,5836
48,Conoco,32795
239,Conseco,8108
640,Consol. Freightways,2238
199,Consolidated Edison,9634
608,Constellation Brands,2397
421,Constellation Energy,3928
216,Continental Airlines,8969
625,Convergys,2321
821,Cooper Cameron,1564
386,Cooper Industries,4210
486,Cooper Tire & Rubber,3155
458,Core-Mark International,3425
733,Corn Products Intl.,1887
289,Corning,6272
44,Costco Wholesale,34797
345,Countrywide Credit,4819
487,Coventry Health Care,3147
397,Cox Communications,4059
814,Crane,1587
536,Crompton,2719
262,Crown Cork & Seal,7187
878,CSK Auto,1439
238,CSX,8110
311,Cummins,5681
668,CUNA Mutual Group,2109
93,CVS,22241
899,Cytec Industries,1387
802,D&K Healthcare Resources,1646
368,D.R. Horton,4456
996,Daisytek International,1190
183,Dana,10469
432,Danaher,3782
401,Darden Restaurants,4021
801,DaVita,1651
290,Dean Foods,6230
154,Deere,13293
851,Del Monte Foods,1512
53,Dell Computer,31168
67,Delphi,26088
148,Delta Air Lines,13879
936,Deluxe,1278
497,Devon Energy,3075
836,Di Giorgio,1539
783,Dial,1694
766,Diebold,1760
230,Dillard's,8388
889,DIMON,1401
353,Dole Food,4688
326,Dollar General,5323
701,Dollar Tree Stores,1987
180,Dominion Resources,10558
952,Domino's,1258
364,Dover,4528
60,Dow Chemical,27805
763,Dow Jones,1773
986,DPL,1200
934,DQE,1296
888,Dreyer's Grand Ice Cream,1402
793,DST Systems,1660
245,DTE Energy,7849
14,Duke Energy,59503
929,Dun & Bradstreet,1309
70,DuPont de Nemours (E.I.),25370
585,Dura Automotive Systems,2477
730,DynCorp,1889
30,Dynegy,42242
686,E*Trade Group,2062
867,E.W. Scripps,1459
561,Earthgrains,2582
957,EarthLink,1245
322,Eastman Chemical,5384
155,Eastman Kodak,13234
259,Eaton,7299
407,Echostar Communications,4001
618,Ecolab,2355
165,Edison International,12184
790,EGL,1672
17,El Paso,57475
921,Electronic Arts,1322
97,Electronic Data Systems,21543
171,Eli Lilly,11543
263,EMC,7091
459,Emcor Group,3420
130,Emerson Electric,15480
412,Encompass Services,3981
784,Energizer Holdings,1694
433,Energy East,3760
338,Engelhard,5097
5,Enron,138718
200,Entergy,9621
484,Enterprise Products,3180
799,EOG Resources,1655
837,Equifax,1537
765,Equitable Resources,1765
491,Equity Office Properties,3130
653,Equity Res. Properties,2171
610,Erie Insurance Group,2394
360,Estee Lauder,4608
135,Exelon,15140
601,Exide Technologies,2432
800,Expeditors Intl. of Wash.,1653
210,Express Scripts,9329
2,Exxon Mobil,191581
885,Fairchild Semicond. Intl.,1408
443,Family Dollar Stores,3665
20,Fannie Mae,50803
170,Farmland Industries,11763
321,Federal-Mogul,5457
118,Federated Dept. Stores,16895
931,Federated Mutual Ins.,1300
103,FedEx,19629
985,FelCor Lodging,1201
857,Ferro,1501
426,Fidelity Natl. Financial,3874
283,Fifth Third Bancorp,6506
437,First American Corp.,3751
284,First Data,6451
933,First Natl. of Nebraska,1296
593,First Tenn. Natl. Corp.,2459
242,FirstEnergy,7999
728,Fiserv,1891
518,Fisher Scientific Intl.,2880
106,FleetBoston,19190
573,Fleetwood Enterprises,2532
129,Fleming,15628
805,Flowers Foods,1629
722,Flowserve,1918
214,Fluor,8972
428,FMC,3871
962,Foamex International,1239
375,Foot Locker,4379
591,Footstar,2461
4,Ford Motor,162412
982,Forest Laboratories,1205
327,Fortune Brands,5318
460,Foster Wheeler,3397
226,FPL Group,8475
617,Franklin Resources,2355
41,Freddie Mac,35523
743,Freeport-McMoRan C&G,1839
731,Frontier Oil,1888
727,Furniture Brands Intl.,1891
287,Gannett,6344
149,Gap,13848
296,Gateway,6080
846,GATX,1523
906,Gemstar-TV Guide Intl.,1368
861,GenCorp,1486
696,General Cable,2004
166,General Dynamics,12163
6,General Electric,125913
264,General Mills,7078
3,General Motors,177260
565,Genesis Health Ventures,2570
918,Gentek,1328
902,Gentiva Health Services,1378
235,Genuine Parts,8221
973,Genuity,1221
971,Genzyme,1224
981,Georgia Gulf,1206
71,Georgia-Pacific,25309
240,Gillette,8084
753,Gold Kist,1811
381,Golden State Bancorp,4320
371,Golden West Financial,4446
54,Goldman Sachs Group,31138
340,Goodrich,5013
994,Goody's Family Clothing,1193
144,Goodyear Tire & Rubber,14147
829,Granite Construction,1548
344,Graybar Electric,4829
812,Great Lakes Chemical,1595
866,Great Plains Energy,1462
778,Greenpoint Financial,1722
833,Greif Bros.,1542
975,Grey Global,1217
408,Group 1 Automotive,3996
219,Guardian Life of America,8907
542,Guidant,2708
507,H&R Block,3002
939,H.B. Fuller,1274
206,H.J. Heinz,9430
153,Halliburton,13405
993,Handleman,1193
466,Harley-Davidson,3363
965,Harleysville Mutual Ins.,1235
779,Harman Intl. Industries,1717
440,Harrah's Entertainment,3709
706,Harris,1955
669,Harsco,2109
134,Hartford Fin. Services,15147
519,Hasbro,2856
777,Hawaiian Elec. Inds.,1732
113,HCA,17953
734,Health Management Associates,1880
192,Health Net,10065
374,HEALTHSOUTH,4381
568,Henry Schein,2558
557,Hercules,2620
641,Herman Miller,2236
362,Hershey Foods,4557
28,Hewlett-Packard,45226
862,Hibernia Corp.,1478
670,Hillenbrand Industries,2107
499,Hilton Hotels,3050
901,Hollywood Entertainment,1380
18,Home Depot,53553
760,Hon Industries,1792
83,Honeywell Intl.,23652
392,Hormel Foods,4124
436,Host Marriott,3754
147,Household International,13916
774,Hovnanian Enterprises,1742
924,Hub Group,1319
927,Hubbell,1312
501,Hughes Supply,3038
187,Humana,10195
597,Huntington Bancshares,2448
312,Idacorp,5648
968,IDT,1231
332,Ikon Office Solutions,5274
197,Illinois Tool Works,9698
538,IMC Global,2714
826,Imperial Sugar,1553
917,IMS Health,1333
708,Ingles Markets,1953
75,Ingram Micro,25187
679,Insight Enterprises,2082
786,Integrated Electrical Svcs.,1693
65,Intel,26539
987,International Game Technology,1199
66,International Paper,26363
279,Interpublic Group,6727
451,Interstate Bakeries,3497
9,Intl. Business Machines,85866
742,Intl. Flavors & Frag.,1844
575,Intl. Multifoods,2525
949,Intuit,1262
919,IT Group,1326
354,ITT Industries,4676
976,Ivax,1215
675,J.B. Hunt Transport Svcs.,2100
50,J.C. Penney,32004
21,J.P. Morgan Chase,50429
378,Jabil Circuit,4331
744,Jack in the Box,1834
415,Jacobs Engineering Grp.,3957
477,JDS Uniphase,3233
469,Jefferson-Pilot,3332
819,Jo Ann Stores,1570
209,John Hancock Finan. Svcs.,9361
47,Johnson & Johnson,33004
111,Johnson Controls,18427
396,Jones Apparel Group,4073
355,KB Home,4647
220,Kellogg,8853
630,Kellwood,2282
384,Kelly Services,4257
886,Kemet,1406
755,Kennametal,1808
446,Kerr-McGee,3638
257,KeyCorp,7352
271,KeySpan,6900
950,Kimball International,1261
141,Kimberly-Clark,14524
496,Kindred Healthcare,3081
672,Kla-Tencor,2104
40,Kmart,36910
515,Knight-Ridder,2900
912,Knights of Columbus,1349
253,Kohl's,7489
520,KPMG Consulting,2856
22,Kroger,50098
622,L-3 Communications,2347
637,La-Z-Boy,2256
649,Lab. Corp. of Amer.,2200
847,Lam Research,1520
654,LandAmerica Financial,2171
820,Lands' End,1569
894,Landstar System,1393
150,Lear,13625
838,Legg Mason,1536
394,Leggett & Platt,4114
91,Lehman Brothers Hldgs.,22392
298,Lennar,6029
493,Lennox International,3120
840,Level 3 Communications,1533
383,Levi Strauss,4259
390,Lexmark International,4143
142,Liberty Mutual Group,14256
208,Limited,9363
286,Lincoln National,6411
747,Linens 'n Things,1824
736,Lithia Motors,1873
454,Liz Claiborne,3449
77,Lockheed Martin,24793
109,Loews,18799
382,Longs Drug Stores,4305
616,Louisiana-Pacific,2360
94,Lowe's,22111
762,LSI Logic,1785
416,LTV,3956
741,Lubrizol,1845
76,Lucent Technologies,25132
537,Lutheran Brotherhood,2716
478,Lyondell Chemical,3226
562,M&T Bank Corp.,2579
737,Magellan Health Svcs.,1870
635,Mail-Well,2259
756,MAMSI,1808
590,Mandalay Resort Group,2462
544,Manor Care,2694
182,Manpower,10484
43,Marathon Oil,35041
678,Mariner Post-Acute Ntwk.,2087
892,Markel,1397
189,Marriott International,10152
193,Marsh & McLennan,9943
735,Marsh Supermarkets,1877
541,Marshall & Ilsley Corp.,2712
853,Martin Marietta Materials,1506
233,Masco,8358
104,Mass. Mutual Life Ins.,19340
954,Massey Energy,1254
972,MasTec,1223
347,Mattel,4804
816,Maxim Integrated Products,1577
431,Maxtor,3797
658,Maxxam,2158
143,May Dept. Stores,14175
361,Maytag,4564
190,MBNA,10145
613,McCormick,2372
139,McDonald's,14870
356,McGraw-Hill,4646
31,McKesson,42010
752,McLeodUSA,1811
663,MDC Holdings,2126
647,MDU Resources Group,2224
411,MeadWestvaco,3984
318,Medtronic,5552
398,Mellon Financial Corp.,4055
940,Men's Wearhouse,1273
24,Merck,47716
852,Mercury General,1507
36,Merrill Lynch,38793
698,Metaldyne,1998
789,Metals USA,1675
51,MetLife,31928
739,Metris,1851
898,Metro-Goldwyn-Mayer,1388
910,MGIC Investment,1358
404,MGM Mirage,4010
574,Michaels Stores,2531
365,Micron Technology,4516
72,Microsoft,25296
948,Milacron,1263
813,Millennium Chemicals,1590
759,Minnesota Life,1801
126,Minnesota Mining & Mfg.,16079
52,Mirant,31502
455,Mohawk Industries,3446
615,Molex,2366
673,MONY Group,2104
29,Morgan Stanley,43727
56,Motorola,30004
827,MPS Group,1549
367,Murphy Oil,4479
379,Mutual of Omaha Ins.,4328
646,Nabors Industries,2225
554,Nacco Industries,2638
395,Nash Finch,4107
213,National City Corp.,9093
830,National Commerce Finan.,1548
674,National Fuel Gas,2100
772,National Oilwell,1748
896,National Rural Utilities Coop.,1388
666,National Semiconductor,2113
136,Nationwide,15118
569,Natl. Service Industries,2546
280,Navistar International,6722
304,NCR,5917
505,Neiman Marcus,3016
688,New Jersey Resources,2048
69,New York Life Insurance,25678
500,New York Times,3043
270,Newell Rubbermaid,6909
797,Newmont Mining,1656
252,Nextel Communications,7574
570,Nicor,2544
204,Nike,9489
203,NiSource,9565
818,Noble Affiliates,1572
314,Nordstrom,5634
293,Norfolk Southern,6170
680,Nortek,2081
974,North Fork Bancorp.,1219
273,Northeast Utilities,6874
474,Northern Trust Corp.,3262
151,Northrop Grumman,13558
385,NorthWestern,4238
124,Northwestern Mutual,16212
914,Novellus Systems,1339
481,NSTAR,3192
434,NTL,3755
391,Nucor,4139
905,Nvidia,1371
556,NVR,2624
194,NWA,9905
146,Occidental Petroleum,14126
953,Ocean Energy,1256
173,Office Depot,11154
357,OfficeMax,4636
482,OGE Energy,3182
967,Oglethorpe Power,1231
725,Ohio Casualty,1902
612,Old Republic Intl.,2373
942,Olin,1271
614,OM Group,2367
657,Omnicare,2159
272,Omnicom Group,6889
978,On Semiconductor,1215
904,OneAmerica Financial,1372
276,ONEOK,6803
176,Oracle,10860
871,Oshkosh Truck,1445
662,Outback Steakhouse,2127
429,Owens & Minor,3815
349,Owens Corning,4762
301,Owens-Illinois,6013
372,Oxford Health Plans,4421
295,Paccar,6089
935,Pacific Century Finan.,1281
439,Pacific LifeCorp,3735
169,PacifiCare Health Sys.,11844
761,Packaging Corp. of America,1790
528,Pactiv,2812
964,Pall,1235
553,Pantry,2643
358,Park Place Entertainment,4631
303,Parker Hannifin,5980
402,Pathmark Stores,4017
776,Paychex,1736
512,Payless Shoesource,2914
1000,PC Connection,1181
584,Penn Traffic,2481
627,Pennzoil-Quaker State,2315
530,Pentair,2806
634,Peoples Energy,2270
681,PeopleSoft,2073
652,Pep Boys,2184
581,PEPCO,2503
228,Pepsi Bottling,8443
485,PepsiAmericas,3171
63,PepsiCo,26935
476,Performance Food Group,3237
824,Perini,1555
811,PerkinElmer,1602
983,Perot Systems,1205
930,Petco Animal Supplies,1301
427,Peter Kiewit Sons',3871
582,PETsMART,2501
49,Pfizer,32259
87,PG&E Corp.,22959
960,Phar-Mor,1241
105,Pharmacia,19299
406,Phelps Dodge,4002
10,Philip Morris,72944
81,Phillips Petroleum,24189
881,Phillips Van Heusen,1432
605,Phoenix Companies,2422
884,Pier 1 Imports,1412
648,Pilgrim's Pride,2215
363,Pinnacle West Capital,4551
514,Pioneer-Standard Elec.,2901
352,Pitney Bowes,4691
405,Pittston,4008
274,Plains All Amer. Pipeline,6868
269,PNC Financial Svcs. Group,6921
619,PNM Resources,2352
850,Polaris Industries,1512
645,Polo Ralph Lauren,2226
549,PolyOne,2655
566,Popular,2561
770,Potlatch,1752
237,PPG Industries,8169
309,PPL,5725
336,Praxair,5158
624,Precision Castparts,2326
285,Premcor,6418
849,Pride International,1513
773,Primedia,1742
221,Principal Financial,8818
915,Pro-Fac Cooperative,1339
35,Procter & Gamble,39244
227,Progress Energy,8462
254,Progressive,7488
703,Protective Life,1965
916,Provident Financial Group,1333
319,Providian Financial,5530
62,Prudential Financial,27177
749,PSS World Medical,1815
195,Public Svc. Enter. Group,9815
133,Publix Super Markets,15284
464,Puget Energy,3374
324,Pulte Homes,5382
545,Qualcomm,2680
691,Quanta Services,2015
370,Quantum,4452
447,Quest Diagnostics,3628
876,Questar,1439
808,Quintiles Transnational,1620
102,Qwest Communications,19743
224,R.J. Reynolds Tobacco,8585
328,R.R. Donnelley & Sons,5298
348,RadioShack,4776
796,Raymond James Financial,1658
119,Raytheon,16867
577,Reader's Digest Assn.,2518
508,Reebok International,2993
400,Regions Financial,4038
928,Regis,1312
792,Reliance Steel & Alum.,1661
26,Reliant Energy,46226
754,Rent-A-Center,1809
636,Republic Services,2258
922,Revlon,1322
841,RGS Energy Group,1531
132,Rite Aid,15297
956,Riverwood Holding,1250
531,Roadway,2792
595,Robert Half Intl.,2453
874,Rock-Tenn,1442
380,Rockwell Automation,4323
526,Rockwell Collins,2820
306,Rohm & Haas,5896
509,Ross Stores,2987
452,Roundy's,3452
694,RPM,2008
534,Ruddick,2743
341,Ryder System,5006
638,Ryerson Tull,2244
535,Ryland Group,2742
587,Sabre Holdings,2473
267,Safeco,6953
717,Safeguard Scientifics,1926
45,Safeway,34301
297,Saks,6071
399,Sanmina-SCI,4054
115,Sara Lee,17747
27,SBC Communications,45908
453,SCANA,3451
196,Schering-Plough,9802
705,Scholastic,1962
222,SCI Systems,8714
294,Science Applications Intl.,6163
579,Scientific-Atlanta,2512
771,Scotts,1748
758,Seaboard,1805
498,Sealed Air,3068
990,Sealy,1197
32,Sears Roebuck,41078
241,Sempra Energy,8029
729,Sentry Insurance Group,1889
769,Sequa,1756
580,Service Corp. Intl.,2510
308,ServiceMaster,5811
835,Shaw Group,1539
339,Sherwin-Williams,5066
462,Shopko Stores,3387
689,Siebel Systems,2048
863,Sierra Health Services,1473
359,Sierra Pacific Resources,4612
711,Silgan Holdings,1941
738,Silicon Graphics,1855
687,Simon Property Group,2049
448,Smith International,3551
305,Smithfield Foods,5900
231,Smurfit-Stone Container,8377
677,Snap-On,2096
979,Software Spectrum,1213
110,Solectron,18692
527,Solutia,2817
288,Sonic Automotive,6337
558,Sonoco Products,2606
188,Southern,10155
775,Southern States Coop.,1739
714,Southern Union,1933
438,SouthTrust Corp.,3742
317,Southwest Airlines,5555
893,Southwest Gas,1397
552,Sovereign Bancorp,2649
449,Spartan Stores,3520
539,Spherion,2713
883,Sports Authority,1416
68,Sprint,26071
393,SPX,4114
913,St. Jude Medical,1347
218,St. Paul Cos.,8943
483,Staff Leasing,3180
815,StanCorp Financial,1585
900,Standard Pacific,1385
991,Standard Register,1196
555,Stanley Works,2624
178,Staples,10744
550,Starbucks,2649
413,Starwood Hotels & Rsrts.,3967
25,State Farm Insurance,46705
313,State St. Corp.,5637
563,Stater Bros. Holdings,2574
425,Steelcase,3886
923,Stein Mart,1320
890,Stewart & Stevenson Svcs.,1400
941,Stewart Info. Services,1272
823,Stilwell Financial,1556
690,Storage Technology,2045
559,Stryker,2602
664,Sun Healthcare Group,2122
112,Sun Microsystems,18250
715,SunGard Data Systems,1929
163,Sunoco,12402
229,SunTrust Banks,8435
86,Supervalu,23194
667,Swift Transportation,2112
869,Symbol Technologies,1453
682,Synovus Financial Corp.,2069
95,Sysco,21785
831,Systemax,1547
34,Target,39888
989,TCF Financial Corp.,1198
117,Tech Data,17198
551,TECO Energy,2649
891,Tecumseh Products,1399
966,Tektronix,1235
723,Teleflex,1905
560,Telephone & Data Sys.,2589
650,Tellabs,2200
389,Temple-Inland,4172
167,Tenet Healthcare,12053
465,Tenneco Automotive,3364
875,Teradyne,1441
751,Terex,1813
335,Tesoro Petroleum,5218
955,Texas Industries,1252
236,Texas Instruments,8201
164,Textron,12321
522,Thermo Electron,2847
825,Thomas & Betts,1555
80,TIAA-CREF,24231
809,Tiffany,1607
997,Timberland,1184
598,Timken,2447
179,TJX,10709
870,TMP Worldwide,1448
644,Toll Brothers,2230
543,Torchmark,2707
911,Toro,1353
589,Tower Automotive,2467
175,Toys `R` Us,11019
897,Trans World Entertnmnt.,1388
334,TransMontaigne,5223
525,Transocean Sedco Forex,2820
713,TravelCenters of America,1935
548,Triad Hospitals,2670
333,Tribune,5253
267,Tricon Global Restrnts.,6953
510,Trigon Healthcare,2975
724,Trinity Industries,1904
984,Trump Hotels & Casino Resorts,1203
513,TruServ,2909
122,TRW,16383
58,TXU,27927
177,Tyson Foods,10751
121,U.S. Bancorp,16443
594,U.S. Industries,2453
125,UAL,16138
588,UGI,2468
511,Unified Western Grocers,2930
959,Union Central Life,1241
168,Union Pacific,11973
489,Union Planters Corp.,3144
872,Unisource Energy,1445
300,Unisys,6018
292,United Auto Group,6221
925,United Defense Industries,1319
55,United Parcel Service,30646
517,United Rentals,2887
422,United Stationers,3926
59,United Technologies,27897
84,UnitedHealth Group,23454
572,Unitrin,2534
503,Universal,3018
842,Universal Forest Prods.,1530
523,Universal Health Svcs.,2841
278,Unocal,6752
844,Unova,1529
205,UnumProvident,9435
626,URS,2319
234,US Airways Group,8288
854,US Oncology,1505
450,USA Education,3515
329,USA Networks,5285
215,USAA,8971
592,USFreightways,2459
472,USG,3296
804,UST,1633
138,Valero Energy,14988
721,Valspar,1921
628,Value City,2314
945,Varco International,1268
655,Vectren,2170
858,Veritas Software,1492
11,Verizon Communications,67190
320,VF,5519
85,Viacom,23223
794,Viad,1659
980,Viasystems Group,1207
798,Vishay Intertechnology,1655
114,Visteon,17843
697,Volt Info. Sciences,2001
502,Vulcan Materials,3019
710,W.R. Berkley,1942
767,W.R. Grace,1757
350,W.W. Grainger,4754
90,Wachovia Corp.,22396
529,Wackenhut,2809
1,Wal-Mart Stores,219812
78,Walgreen,24623
787,Wallace Computer Svcs.,1693
73,Walt Disney,25269
720,Walter Industries,1922
116,Washington Mutual,17692
606,Washington Post,2417
172,Waste Management,11322
961,Watsco,1239
623,Weatherford Intl.,2329
700,Weis Markets,1988
162,WellPoint Health Netwks.,12429
64,Wells Fargo,26891
611,Wendy's International,2391
943,Werner Enterprises,1271
444,Wesco International,3658
707,Western Digital,1954
467,Western Gas Resources,3355
651,Western Resources,2186
764,WestPoint Stevens,1765
140,Weyerhaeuser,14545
712,WGL Holdings,1940
186,Whirlpool,10343
633,Whole Foods Market,2272
369,Willamette Industries,4454
174,Williams,11055
676,Williams-Sonoma,2096
160,Winn-Dixie Stores,12903
420,Wisconsin Energy,3929
602,Wm. Wrigley Jr.,2430
843,World Fuel Services,1529
42,WorldCom,35179
745,Worthington Industries,1826
546,WPS Resources,2676
145,Wyeth,14129
671,Wyndham International,2105
137,Xcel Energy,15028
120,Xerox,16502
795,Xilinx,1659
951,XO Communications,1259
473,Yellow,3277
419,York International,3931
683,Zale,2068
692,Zions Bancorp,2011
